var_id,model,index
time_bnds,MCM-UA-1-0,192
tos,CESM2,411
tos,CESM2-FV2,56
tos,CESM2-WACCM,79
tos,CESM2-WACCM-FV2,60
treeFrac,CESM2,47
treeFrac,CESM2-WACCM,16
ts,CESM2,981
ts,CESM2-FV2,109
ts,CESM2-WACCM,102
ts,CESM2-WACCM-FV2,115
tsl,CESM2,27
tsl,CESM2-FV2,4
tsl,CESM2-WACCM,5
tsl,CESM2-WACCM-FV2,4
tsn,CESM2,59
tsn,CESM2-FV2,12
tsn,CESM2-WACCM,9
tsn,CESM2-WACCM-FV2,12
ua,CESM2,1565
ua,CESM2-FV2,253
ua,CESM2-WACCM,305
ua,CESM2-WACCM-FV2,266
va,CESM2,1459
va,CESM2-FV2,229
va,CESM2-WACCM,242
va,CESM2-WACCM-FV2,240
volcello,CESM2,24
volcello,CESM2-FV2,2
volcello,CESM2-WACCM,7
volcello,CESM2-WACCM-FV2,2
volcello,MCM-UA-1-0,9
wap,CESM2,562
wap,CESM2-WACCM,30
wtem,CESM2,78
zg,CESM2,1821
zg,CESM2-FV2,296
zg,CESM2-WACCM,376
zg,CESM2-WACCM-FV2,310
zos,CESM2,142
zos,CESM2-FV2,28
zos,CESM2-WACCM,44
zos,CESM2-WACCM-FV2,30
